Gene	log2FoldChange	pvalue	padj																																																																																																																																																																																																																																																																																																																																							Gene	ROTS.statistic	pvalue	FDR				Majority protein IDs	Protein names	Gene names	-Log Student's T-test p-value CA_CO	Student's T-test Difference CA_CO	Student's T-test Test statistic CA_CO
CD44	-0.200595279	0.134070281	0.99137931																																																																																																																																																																																																																																																																																																																																							P16070-15;P16070-18;P16070-12;P16070-14;P16070-13;P16070-11;P16070-10;P16070-16;P16070-8;P16070-9;P16070-17;P16070-6;P16070-4;P16070-3;P16070-7;P16070-5;P16070;P16070-19	-1.507040184	0.134070281	0.99137931				P16070-15;P16070-18;P16070-12;P16070-14;P16070-13;P16070-11;P16070-10;P16070-16;P16070-8;P16070-9;P16070-17;P16070-6;P16070-4;P16070-3;P16070-7;P16070-5;P16070;P16070-19	CD44 antigen	CD44	0.867911568	-0.200595279	-1.50706177
FCN2	0.393923427	0.139457831	0.99137931																																																																																																																																																																																																																																																																																																																																							Q15485;Q15485-2	1.485379095	0.139457831	0.99137931				Q15485;Q15485-2	Ficolin-2	FCN2	0.850195823	0.393923427	1.485366847
PON1	0.151499903	0.139881526	0.99137931																																																																																																																																																																																																																																																																																																																																							P27169	1.483727024	0.139881526	0.99137931				P27169	Serum paraoxonase/arylesterase 1	PON1	0.84890402	0.151499903	1.483777383
KNG1	-0.057478883	0.160791165	0.99137931																																																																																																																																																																																																																																																																																																																																							P01042	-1.41079665	0.160791165	0.99137931				P01042	Kininogen-1;Kininogen-1 heavy chain;T-kinin;Bradykinin;Lysyl-bradykinin;Kininogen-1 light chain;Low molecular weight growth-promoting factor	KNG1	0.790482762	-0.057478883	-1.410784875
C4B	-0.116074229	0.166273092	0.99137931																																																																																																																																																																																																																																																																																																																																							P0C0L5	-1.392696408	0.166273092	0.99137931				P0C0L5	Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain	C4B	0.776357791	-0.116074229	-1.392798064
ICAM2	-0.248660154	0.167483936	0.99137931																																																																																																																																																																																																																																																																																																																																							P13598	-1.388685152	0.167483936	0.99137931				P13598	Intercellular adhesion molecule 2	ICAM2	0.773148646	-0.248660154	-1.388692375
CA2	0.261580401	0.176949799	0.99137931																																																																																																																																																																																																																																																																																																																																							P00918	1.358700021	0.176949799	0.99137931				P00918	Carbonic anhydrase 2	CA2	0.749871748	0.261580401	1.358695628
CPN1	0.152875812	0.180453815	0.99137931																																																																																																																																																																																																																																																																																																																																							P15169	1.347746236	0.180453815	0.99137931				P15169	Carboxypeptidase N catalytic chain	CPN1	0.741430107	0.152875812	1.347720897
IGHA1	0.558820192	0.186825301	0.99137931																																																																																																																																																																																																																																																																																																																																							P01876	1.32781454	0.186825301	0.99137931				P01876	Ig alpha-1 chain C region	IGHA1	0.726222069	0.558820192	1.327816922
EFEMP1	-0.270565122	0.193022088	0.99137931																																																																																																																																																																																																																																																																																																																																							Q12805-5;Q12805-2;Q12805-4;Q12805-3;Q12805	-1.309593794	0.193022088	0.99137931				Q12805-5;Q12805-2;Q12805-4;Q12805-3;Q12805	EGF-containing fibulin-like extracellular matrix protein 1	EFEMP1	0.712437623	-0.270565122	-1.309625786
SAA4	0.204143081	0.193811245	0.99137931																																																																																																																																																																																																																																																																																																																																							P35542	1.307303868	0.193811245	0.99137931				P35542	Serum amyloid A-4 protein	SAA4	0.710670618	0.204143081	1.307283375
NCAM1	0.277350625	0.20511245	0.99137931																																																																																																																																																																																																																																																																																																																																							P13591-4;P13591-3;P13591-1;P13591;P13591-5	1.275415253	0.20511245	0.99137931				P13591-4;P13591-3;P13591-1;P13591;P13591-5	Neural cell adhesion molecule 1	NCAM1	0.68684497	0.277350625	1.275460336
C4A	0.349433855	0.212395582	0.99137931																																																																																																																																																																																																																																																																																																																																							P0C0L4;P0C0L4-2	1.254677406	0.212395582	0.99137931				P0C0L4;P0C0L4-2	Complement C4-A;Complement C4 beta chain;Complement C4-A alpha chain;C4a anaphylatoxin;C4b-A;C4d-A;Complement C4 gamma chain	C4A	0.671454911	0.349433855	1.254662238
PEPD	0.269847338	0.21462249	0.99137931																																																																																																																																																																																																																																																																																																																																							P12955-2;P12955;P12955-3	1.248895016	0.21462249	0.99137931				P12955-2;P12955;P12955-3	Xaa-Pro dipeptidase	PEPD	0.667208978	0.269847338	1.248889965
AZGP1	-0.071313237	0.222875502	0.99137931																																																																																																																																																																																																																																																																																																																																							P25311	-1.226838887	0.222875502	0.99137931				P25311	Zinc-alpha-2-glycoprotein	AZGP1	0.650989011	-0.071313237	-1.226699533
CDH5	-0.136500736	0.232763052	0.99137931																																																																																																																																																																																																																																																																																																																																							P33151;P33151-2	-1.201526292	0.232763052	0.99137931				P33151;P33151-2	Cadherin-5	CDH5	0.632796672	-0.136500736	-1.201541018
APOA2	0.208801403	0.249481928	0.99137931																																																																																																																																																																																																																																																																																																																																							P02652	1.159514064	0.249481928	0.99137931				P02652	Apolipoprotein A-II;Proapolipoprotein A-II;Truncated apolipoprotein A-II	APOA2	0.602852538	0.208801403	1.159484164
IGFBP6	-0.223808954	0.259807229	0.99137931																																																																																																																																																																																																																																																																																																																																							P24592	-1.134456688	0.259807229	0.99137931				P24592	Insulin-like growth factor-binding protein 6	IGFBP6	0.585346955	-0.223808954	-1.13450889
HBA1	0.417496792	0.263363454	0.99137931																																																																																																																																																																																																																																																																																																																																							P69905	1.12609356	0.263363454	0.99137931				P69905	Hemoglobin subunit alpha	HBA1	0.579500849	0.417496792	1.126102136
APP	0.229267342	0.263795181	0.99137931																																																																																																																																																																																																																																																																																																																																							P05067-7;P05067-11;P05067-8;P05067-9;P05067;P05067-10;P05067-3;P05067-4;P05067-5;P05067-6	1.125098678	0.263795181	0.99137931				P05067-7;P05067-11;P05067-8;P05067-9;P05067;P05067-10;P05067-3;P05067-4;P05067-5;P05067-6	Amyloid beta A4 protein;N-APP;Soluble APP-alpha;Soluble APP-beta;C99;Beta-amyloid protein 42;Beta-amyloid protein 40;C83;P3(42);P3(40);C80;Gamma-secretase C-terminal fragment 59;Gamma-secretase C-terminal fragment 57;Gamma-secretase C-terminal fragment 50;C31	APP	0.578813803	0.229267342	1.12511195
IGFBP5	-0.187788631	0.271674699	0.99137931																																																																																																																																																																																																																																																																																																																																							P24593	-1.106771006	0.271674699	0.99137931				P24593	Insulin-like growth factor-binding protein 5	IGFBP5	0.56614806	-0.187788631	-1.106773528
LCP1	-0.150998803	0.274730924	0.99137931																																																																																																																																																																																																																																																																																																																																							P13796	-1.099437788	0.274730924	0.99137931				P13796	Plastin-2	LCP1	0.561093964	-0.150998803	-1.099410647
TIMP1	0.184606375	0.275060241	0.99137931																																																																																																																																																																																																																																																																																																																																							P01033	1.098680551	0.275060241	0.99137931				P01033	Metalloproteinase inhibitor 1	TIMP1	0.560623326	0.184606375	1.098723686
COMP	-0.184008177	0.288196787	0.99137931																																																																																																																																																																																																																																																																																																																																							P49747;P49747-2	-1.067910111	0.288196787	0.99137931				P49747;P49747-2	Cartilage oligomeric matrix protein	COMP	0.539670872	-0.184008177	-1.067907301
APOC4	0.324169469	0.294618474	0.99137931																																																																																																																																																																																																																																																																																																																																							P55056	1.053768494	0.294618474	0.99137931				P55056	Apolipoprotein C-IV	APOC4	0.530173648	0.324169469	1.053785357
MASP2	0.189365919	0.297018072	0.99137931																																																																																																																																																																																																																																																																																																																																							O00187-2;O00187	1.048378903	0.297018072	0.99137931				O00187-2;O00187	Mannan-binding lectin serine protease 2;Mannan-binding lectin serine protease 2 A chain;Mannan-binding lectin serine protease 2 B chain	MASP2	0.526554016	0.189365919	1.048377296
HP	0.401391273	0.304118474	0.99137931																																																																																																																																																																																																																																																																																																																																							P00738;P00738-2	1.033181546	0.304118474	0.99137931				P00738;P00738-2	Haptoglobin;Haptoglobin alpha chain;Haptoglobin beta chain	HP	0.516440398	0.401391273	1.033189808
HBB	0.290199723	0.307022088	0.99137931																																																																																																																																																																																																																																																																																																																																							P68871	1.027051774	0.307022088	0.99137931				P68871	Hemoglobin subunit beta;LVV-hemorphin-7;Spinorphin	HBB	0.512379177	0.290199723	1.027058878
LYVE1	-0.230187172	0.307291165	0.99137931																																																																																																																																																																																																																																																																																																																																							Q9Y5Y7	-1.02648365	0.307291165	0.99137931				Q9Y5Y7	Lymphatic vessel endothelial hyaluronic acid receptor 1	LYVE1	0.512034764	-0.230187172	-1.026538084
ECM1	-0.123615975	0.308783133	0.99137931																																																																																																																																																																																																																																																																																																																																							Q16610;Q16610-4;Q16610-2	-1.023409263	0.308783133	0.99137931				Q16610;Q16610-4;Q16610-2	Extracellular matrix protein 1	ECM1	0.509995156	-0.123615975	-1.023451185
CRTAC1	-0.184558558	0.310793173	0.99137931																																																																																																																																																																																																																																																																																																																																							Q9NQ79-2;Q9NQ79;Q9NQ79-3	-1.019358542	0.310793173	0.99137931				Q9NQ79-2;Q9NQ79;Q9NQ79-3	Cartilage acidic protein 1	CRTAC1	0.507283243	-0.184558558	-1.019339414
PRDX2	0.194942253	0.315305221	0.99137931																																																																																																																																																																																																																																																																																																																																							P32119	1.010167611	0.315305221	0.99137931				P32119	Peroxiredoxin-2	PRDX2	0.501268879	0.194942253	1.010190315
B2M	0.146021643	0.319220884	0.99137931																																																																																																																																																																																																																																																																																																																																							P61769	1.001809297	0.319220884	0.99137931				P61769	Beta-2-microglobulin;Beta-2-microglobulin form pI 5.3	B2M	0.495730617	0.146021643	1.001728274
LAMP2	-0.140213545	0.322297189	0.99137931																																																																																																																																																																																																																																																																																																																																							P13473-2;P13473;P13473-3	-0.99544998	0.322297189	0.99137931				P13473-2;P13473;P13473-3	Lysosome-associated membrane glycoprotein 2	LAMP2	0.491600511	-0.140213545	-0.995394309
SERPINA5	-0.161487491	0.324427711	0.99137931																																																																																																																																																																																																																																																																																																																																							P05154	-0.991077242	0.324427711	0.99137931				P05154	Plasma serine protease inhibitor	SERPINA5	0.488790717	-0.161487491	-0.991073612
HSPA5	-0.121068112	0.325002008	0.99137931																																																																																																																																																																																																																																																																																																																																							P11021	-0.990029992	0.325002008	0.99137931				P11021	78 kDa glucose-regulated protein	HSPA5	0.488124698	-0.121068112	-0.990048076
SPARC	0.13303912	0.327991968	0.99137931																																																																																																																																																																																																																																																																																																																																							P09486	0.984098122	0.327991968	0.99137931				P09486	SPARC	SPARC	0.484289663	0.13303912	0.984132525
LRG1	-0.083492545	0.32875502	0.99137931																																																																																																																																																																																																																																																																																																																																							P02750	-0.982377687	0.32875502	0.99137931				P02750	Leucine-rich alpha-2-glycoprotein	LRG1	0.483099071	-0.083492545	-0.98229243
PVR	0.140264467	0.331128514	0.99137931																																																																																																																																																																																																																																																																																																																																							P15151-3;P15151-2;P15151-4;P15151	0.977590067	0.331128514	0.99137931				P15151-3;P15151-2;P15151-4;P15151	Poliovirus receptor	PVR	0.4800878	0.140264467	0.977630746
FETUB	-0.130821539	0.341230924	0.99137931																																																																																																																																																																																																																																																																																																																																							Q9UGM5;Q9UGM5-2	-0.957420465	0.341230924	0.99137931				Q9UGM5;Q9UGM5-2	Fetuin-B	FETUB	0.467148654	-0.130821539	-0.957473185
HGFAC	-0.11288257	0.343267068	0.99137931																																																																																																																																																																																																																																																																																																																																							Q04756	-0.953448944	0.343267068	0.99137931				Q04756	Hepatocyte growth factor activator;Hepatocyte growth factor activator short chain;Hepatocyte growth factor activator long chain	HGFAC	0.464575882	-0.11288257	-0.953440272
GPX3	-0.124567032	0.343584337	0.99137931																																																																																																																																																																																																																																																																																																																																							P22352	-0.952794985	0.343584337	0.99137931				P22352	Glutathione peroxidase 3	GPX3	0.464188412	-0.124567032	-0.952832176
LTF	0.217292697	0.360829317	0.99137931																																																																																																																																																																																																																																																																																																																																							P02788-2;P02788	0.919598843	0.360829317	0.99137931				P02788-2;P02788	Lactotransferrin;Lactoferricin-H;Kaliocin-1;Lactoferroxin-A;Lactoferroxin-B;Lactoferroxin-C	LTF	0.443196977	0.217292697	0.919599946
PCSK9	-0.131980807	0.37603012	0.99137931																																																																																																																																																																																																																																																																																																																																							Q8NBP7;Q8NBP7-2	-0.890335459	0.37603012	0.99137931				Q8NBP7;Q8NBP7-2	Proprotein convertase subtilisin/kexin type 9	PCSK9	0.425008283	-0.131980807	-0.890332654
IGHG3	0.27059768	0.382646586	0.99137931																																																																																																																																																																																																																																																																																																																																							P01860	0.877751773	0.382646586	0.99137931				P01860	Ig gamma-3 chain C region	IGHG3	0.41729071	0.27059768	0.877776861
APOA1	-0.106101413	0.383339357	0.99137931																																																																																																																																																																																																																																																																																																																																							P02647	-0.876509926	0.383339357	0.99137931				P02647	Apolipoprotein A-I;Proapolipoprotein A-I;Truncated apolipoprotein A-I	APOA1	0.416542981	-0.106101413	-0.876555926
CFHR3	0.183781291	0.386172691	0.99137931																																																																																																																																																																																																																																																																																																																																							Q02985-2;Q02985	0.871195915	0.386172691	0.99137931				Q02985-2;Q02985	Complement factor H-related protein 3	CFHR3	0.413252204	0.183781291	0.871173126
ADAMTS13	0.162517592	0.387967871	0.99137931																																																																																																																																																																																																																																																																																																																																							Q76LX8;Q76LX8-3;Q76LX8-2	0.867947875	0.387967871	0.99137931				Q76LX8;Q76LX8-3;Q76LX8-2	A disintegrin and metalloproteinase with thrombospondin motifs 13	ADAMTS13	0.411274906	0.162517592	0.867931387
VCAM1	-0.133581428	0.391068273	0.99137931																																																																																																																																																																																																																																																																																																																																							P19320-3;P19320;P19320-2	-0.86247379	0.391068273	0.99137931				P19320-3;P19320;P19320-2	Vascular cell adhesion protein 1	VCAM1	0.407891484	-0.133581428	-0.862371312
F13B	-0.058375514	0.391459839	0.99137931																																																																																																																																																																																																																																																																																																																																							P05160	-0.86171392	0.391459839	0.99137931				P05160	Coagulation factor XIII B chain	F13B	0.407495716	-0.058375514	-0.861719855
C5	-0.064525737	0.40398996	0.99137931																																																																																																																																																																																																																																																																																																																																							P01031	-0.839011198	0.40398996	0.99137931				P01031	Complement C5;Complement C5 beta chain;Complement C5 alpha chain;C5a anaphylatoxin;Complement C5 alpha chain	C5	0.393801069	-0.064525737	-0.83903642
PF4	0.1114533	0.406787149	0.99137931																																																																																																																																																																																																																																																																																																																																							P02776	0.833985128	0.406787149	0.99137931				P02776	"Platelet factor 4;Platelet factor 4, short form"	PF4	0.390772675	0.1114533	0.833982656
CP	-0.07239151	0.413859438	0.99137931																																																																																																																																																																																																																																																																																																																																							P00450	-0.8217359	0.413859438	0.99137931				P00450	Ceruloplasmin	CP	0.383535323	-0.07239151	-0.82184869
NID1	-0.118565936	0.414413655	0.99137931																																																																																																																																																																																																																																																																																																																																							P14543-2;P14543	-0.820756032	0.414413655	0.99137931				P14543-2;P14543	Nidogen-1	NID1	0.38285909	-0.118565936	-0.820710841
PLA2G7	0.140658268	0.419917671	0.99137931																																																																																																																																																																																																																																																																																																																																							Q13093	0.81101208	0.419917671	0.99137931				Q13093	Platelet-activating factor acetylhydrolase	PLA2G7	0.377129847	0.140658268	0.811042232
PROS1	-0.071299043	0.424560241	0.99137931																																																																																																																																																																																																																																																																																																																																							P07225	-0.802950623	0.424560241	0.99137931				P07225	Vitamin K-dependent protein S	PROS1	0.372389028	-0.071299043	-0.80300288
SERPINA1	-0.225478638	0.426491968	0.99137931																																																																																																																																																																																																																																																																																																																																							P01009;P01009-2;P01009-3	-0.799499472	0.426491968	0.99137931				P01009;P01009-2;P01009-3	Alpha-1-antitrypsin;Short peptide from AAT	SERPINA1	0.370308331	-0.225478638	-0.799463272
LCAT	0.063412866	0.431742972	0.99137931																																																																																																																																																																																																																																																																																																																																							P04180	0.790389537	0.431742972	0.99137931				P04180	Phosphatidylcholine-sterol acyltransferase	LCAT	0.3650705	0.063412866	0.790522247
CFI	-0.05627743	0.434056225	0.99137931																																																																																																																																																																																																																																																																																																																																							P05156	-0.7863563	0.434056225	0.99137931				P05156	Complement factor I;Complement factor I heavy chain;Complement factor I light chain	CFI	0.362706243	-0.05627743	-0.786471962
CD14	-0.078851522	0.436080321	0.99137931																																																																																																																																																																																																																																																																																																																																							P08571	-0.782818851	0.436080321	0.99137931				P08571	"Monocyte differentiation antigen CD14;Monocyte differentiation antigen CD14, urinary form;Monocyte differentiation antigen CD14, membrane-bound form"	CD14	0.360561139	-0.078851522	-0.782789254
PI16	-0.12799986	0.437279116	0.99137931																																																																																																																																																																																																																																																																																																																																							Q6UXB8;Q6UXB8-2	-0.780839721	0.437279116	0.99137931				Q6UXB8;Q6UXB8-2	Peptidase inhibitor 16	PI16	0.359437022	-0.12799986	-0.780856373
MMRN1	0.168391117	0.438841365	0.99137931																																																																																																																																																																																																																																																																																																																																							Q13201;Q13201-2	0.778042108	0.438841365	0.99137931				Q13201;Q13201-2	Multimerin-1;Platelet glycoprotein Ia*;155 kDa platelet multimerin	MMRN1	0.357791759	0.168391117	0.778023663
S100A9	0.246573426	0.440614458	0.99137931																																																																																																																																																																																																																																																																																																																																							P06702	0.775010834	0.440614458	0.99137931				P06702	Protein S100-A9	S100A9	0.35603882	0.246573426	0.775000657
F12	-0.080559087	0.441702811	0.99137931																																																																																																																																																																																																																																																																																																																																							P00748	-0.773158437	0.441702811	0.99137931				P00748	Coagulation factor XII;Coagulation factor XIIa heavy chain;Beta-factor XIIa part 1;Coagulation factor XIIa light chain	F12	0.354935826	-0.080559087	-0.7730959
LGALS3BP	-0.225299968	0.444495984	0.99137931																																																																																																																																																																																																																																																																																																																																							Q08380	-0.768413024	0.444495984	0.99137931				Q08380	Galectin-3-binding protein	LGALS3BP	0.352229533	-0.225299968	-0.768413844
ITIH4	0.06328463	0.447562249	0.99137931																																																																																																																																																																																																																																																																																																																																							Q14624	0.763355657	0.447562249	0.99137931				Q14624	Inter-alpha-trypsin inhibitor heavy chain H4;70 kDa inter-alpha-trypsin inhibitor heavy chain H4;35 kDa inter-alpha-trypsin inhibitor heavy chain H4	ITIH4	0.349342767	0.06328463	0.76340606
KRT9	0.192792981	0.455558233	0.99137931																																																																																																																																																																																																																																																																																																																																							P35527;CON__P35527	0.750127737	0.455558233	0.99137931				P35527;CON__P35527	"Keratin, type I cytoskeletal 9"	KRT9	0.341711514	0.192792981	0.750099923
CRP	-0.293365079	0.45973494	0.99137931																																																																																																																																																																																																																																																																																																																																							P02741-2;P02741	-0.743088673	0.45973494	0.99137931				P02741-2;P02741	C-reactive protein;C-reactive protein(1-205)	CRP	0.337696125	-0.293365079	-0.743058445
LPA	0.517337799	0.461457831	0.99137931																																																																																																																																																																																																																																																																																																																																							P08519	0.7402241	0.461457831	0.99137931				P08519	Apolipoprotein(a)	LPA	0.336090773	0.517337799	0.740235434
SERPINA10	0.109199701	0.471026104	0.99137931																																																																																																																																																																																																																																																																																																																																							Q9UK55	0.724216639	0.471026104	0.99137931				Q9UK55	Protein Z-dependent protease inhibitor	SERPINA10	0.326967211	0.109199701	0.724105516
SERPINA3	0.055698306	0.475226908	0.99137931																																																																																																																																																																																																																																																																																																																																							P01011	0.717232246	0.475226908	0.99137931				P01011	Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less	SERPINA3	0.323162192	0.055698306	0.717334595
BTD	-0.077347866	0.475534137	0.99137931																																																																																																																																																																																																																																																																																																																																							P43251-4;P43251;P43251-3;P43251-2	-0.716775479	0.475534137	0.99137931				P43251-4;P43251;P43251-3;P43251-2	Biotinidase	BTD	0.322819098	-0.077347866	-0.716722785
VWF	-0.171256886	0.482678715	0.99137931																																																																																																																																																																																																																																																																																																																																							P04275	-0.705238179	0.482678715	0.99137931				P04275	von Willebrand factor;von Willebrand antigen 2	VWF	0.316385638	-0.171256886	-0.705210762
DBH	-0.193930826	0.483873494	0.99137931																																																																																																																																																																																																																																																																																																																																							P09172	-0.703156255	0.483873494	0.99137931				P09172	Dopamine beta-hydroxylase;Soluble dopamine beta-hydroxylase	DBH	0.315250211	-0.193930826	-0.703171134
COLEC11	-0.141021418	0.484353414	0.99137931																																																																																																																																																																																																																																																																																																																																							Q9BWP8-8;Q9BWP8-7;Q9BWP8-6;Q9BWP8-5;Q9BWP8-4;Q9BWP8-3;Q9BWP8-2;Q9BWP8-9;Q9BWP8;Q9BWP8-10	-0.702420418	0.484353414	0.99137931				Q9BWP8-8;Q9BWP8-7;Q9BWP8-6;Q9BWP8-5;Q9BWP8-4;Q9BWP8-3;Q9BWP8-2;Q9BWP8-9;Q9BWP8;Q9BWP8-10	Collectin-11	COLEC11	0.314847102	-0.141021418	-0.702446434
F5	0.057693969	0.486156627	0.99137931																																																																																																																																																																																																																																																																																																																																							P12259	0.699622084	0.486156627	0.99137931				P12259	Coagulation factor V;Coagulation factor V heavy chain;Coagulation factor V light chain	F5	0.313218728	0.057693969	0.699515905
QSOX1	0.090661914	0.490303213	0.99137931																																																																																																																																																																																																																																																																																																																																							O00391-2;O00391	0.692907721	0.490303213	0.99137931				O00391-2;O00391	Sulfhydryl oxidase 1	QSOX1	0.309579794	0.090661914	0.692949137
FN1	-0.058206514	0.490550201	0.99137931																																																																																																																																																																																																																																																																																																																																							P02751-8;P02751;P02751-14;P02751-3;P02751-15;P02751-7;P02751-9;P02751-17;P02751-11;P02751-6;P02751-12;P02751-4	-0.692529262	0.490550201	0.99137931				P02751-8;P02751;P02751-14;P02751-3;P02751-15;P02751-7;P02751-9;P02751-17;P02751-11;P02751-6;P02751-12;P02751-4	Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3	FN1	0.30937806	-0.058206514	-0.692584364
